t,V,m,h,n
3.0261585537862143,3.355873620299062,0.9882534061699304,0.147497431471167,0.7340563753093075
3.048817697555255,2.216330589361218,0.9873777058258745,0.14431111770417487,0.7366397098359446
3.0709498998714704,1.1088457253876853,0.9864496205961151,0.14127712848417476,0.7390514296075117
3.0923672639928537,0.04261694842167156,0.9854791075241034,0.13841376457541577,0.7412830537061283
3.1127555132614404,-0.9671741860486581,0.9844852977576432,0.13575355404749517,0.7433163925550312
3.1331675009347193,-1.9729036425484747,0.9834181658840055,0.13315359088539233,0.7452652803076588
3.1545600814827433,-3.021191607246125,0.9822178806710388,0.13049602240342714,0.74721679371151
3.1765272875379167,-4.091392719278083,0.9808930307082734,0.12783800542735319,0.7491261591364864
3.1994003740562604,-5.198909349515398,0.9794080592012212,0.12514599421906927,0.7510149699485937
3.223100159712948,-6.339051925129119,0.9777487010083178,0.12243727676843816,0.7528679103758306
3.247759923336832,-7.517345057379664,0.9758831192248754,0.11970510717027642,0.7546863266909322
3.2733901013466125,-8.733333076371506,0.9737836230490339,0.11695784447160959,0.7564610218913014
3.300068127616439,-9.989703753166264,0.9714122405200543,0.11419750659555132,0.7581868662557874
3.3278389100745014,-11.287550366133363,0.9687273786724161,0.11143082322721001,0.7598555115449941
3.3567768197900865,-12.629311767810437,0.9656771267770461,0.10866288785819544,0.7614594243266005
3.386959235794408,-14.01753328544289,0.962199617501176,0.10590021834642564,0.7629899045638131
3.4184923320237264,-15.45607180022404,0.9582175046511847,0.10314875583253058,0.7644381133990805
3.4515130824598526,-16.950190811714226,0.9536333487530787,0.10041449780375122,0.7657944189239521
3.4862157970093803,-18.50778016169616,0.9483195346387064,0.09770242250615908,0.7670484667790654
3.5228891440702883,-20.14104201312938,0.9421016336603423,0.09501558541647863,0.7681886808527263
3.5620097252252463,-21.870706292449533,0.9347222250394535,0.09235194825072966,0.7692017776660529
3.6045094469294643,-23.73793770195974,0.9257446853894724,0.08969457321326435,0.7700719665310605
3.653089697572805,-25.862230322154655,0.9141231239619318,0.08695779897102676,0.7707818979617757
3.711061168257402,-28.393187787882006,0.8981184670959763,0.08411091117054735,0.7712440925198066
3.7571532854031595,-30.41251987121591,0.8835212063745769,0.0821719972665837,0.7713208089342614
3.8068995365661658,-32.61154146472816,0.8656622280546739,0.08040146145411592,0.771120749788028
3.8534503562763898,-34.70124610290663,0.8467278893030822,0.07904737124072148,0.7706710431808331
3.9006836505598725,-36.869159384689475,0.8250397410082331,0.07797306517835755,0.7699568352402065
3.9467969275556922,-39.049530519347066,0.8011524028856111,0.07721681925011198,0.7690083739850261
3.99293506026424,-41.31371904934945,0.7742192324751273,0.07675221365700124,0.7678084713987507
4.038652838786335,-43.659093205367185,0.7441489105044626,0.07658444625808462,0.7663675295521751
4.084321135034488,-46.122749530126924,0.7103197619136407,0.07671440163563463,0.7646717352036734
4.129850468194449,-48.715077008169025,0.6723725704207738,0.07714966287188812,0.7627189351378291
4.17538577926806,-51.451155729553825,0.6297814987838789,0.07790370257924475,0.7604968497299978
4.2209735917810205,-54.32552105565047,0.5821876355466673,0.07899586127968547,0.7579968172712301
4.266807789818793,-57.31734623684847,0.5293092557193225,0.0804569848785994,0.7552030987048646
4.313191390942333,-60.37784774565188,0.47115922857668496,0.082333041547362,0.7520938679941064
4.36063149087214,-63.42605782275131,0.40821431852163814,0.08469198919273836,0.7486343491676268
4.409626528038996,-66.3308455361019,0.34206646198205065,0.08761188134061997,0.744792884984868
4.4598745625112155,-68.89230490255093,0.2766699711515879,0.09110634106886444,0.7406137888670656
4.510404079531968,-70.93806690383595,0.21721265822888697,0.09508059869002465,0.736222228538222
4.561116263665077,-72.44796807440704,0.16662894947709636,0.09944749856416775,0.7316822573443887
4.612164355306062,-73.49176607675264,0.12587505537043653,0.1041239068389054,0.7270307176136379
4.664003565346679,-74.17766685463205,0.09429638390713753,0.10906224016888381,0.7222663479824948
4.717148523874236,-74.6079949363895,0.07054559263044785,0.11423994112463529,0.717371952091798
4.772140141383477,-74.86402048325154,0.05310752283197348,0.11965578660584021,0.7123203868137968
4.829499667962999,-75.00428384817236,0.04058481460286946,0.12532102809095985,0.7070817445147047
4.8897618054467245,-75.0687299975273,0.03178839176090914,0.13125786480256346,0.7016226572964311
4.953498419977053,-75.08352392272354,0.02575579178593673,0.13749775652430166,0.6959059668707592
5.021353885931886,-75.06520130359915,0.021732301929990136,0.14408163753044137,0.6898890771923303
5.0940785412765015,-75.0237677321235,0.019140671835675215,0.15106044152070575,0.6835224500540419
5.172565618844891,-74.96485320935051,0.017548862540878587,0.1584961534876137,0.6767479537542838
5.257903107634029,-74.89111898221479,0.016640468474870745,0.16646413242607166,0.669496298543895
5.351450343763036,-74.80310495348938,0.016189702454507522,0.17505715425510368,0.6616830807068942
5.454949570334168,-74.69965996278387,0.016041049854759154,0.18439145617085695,0.6532031290921738
5.570704880688393,-74.5780179479992,0.01609308764496216,0.1946166665665913,0.6439214080171433
5.701845383615186,-74.43353885741047,0.01628608448297918,0.20592926388365373,0.6336607772150695
5.8523034987504445,-74.25953479447134,0.016592235870439856,0.21855615779537696,0.6222168393666296
6.023190799639163,-74.05142954153634,0.01699948298411139,0.23244647971174817,0.6096367856292709
6.207095370009722,-73.81508446822173,0.017487048969492026,0.24686611654512905,0.5965851089514834
6.403256429349032,-73.54886809865556,0.018057216412032423,0.2616514894659506,0.5832080551980404
6.611360517356117,-73.25061941285269,0.018719161219366377,0.2766760230026271,0.5696175736049084
